RecipeId,Name,CookTime,Preime,TotalTime,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
38,Low-Fat Berry Blue Frozen Dessert,24H,45M,24H45M,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/YUeirxMLQaeE1h3v3qnM_229%20berry%20blue%20frzn%20dess.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/AFPDDHATWzQ0b1CDpDAT_255%20berry%20blue%20frzn%20dess.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/UYgf9nwMT2SGGJCuzILO_228%20berry%20blue%20frzn%20dess.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/PeBMJN2TGSaYks2759BA_20140722_202142.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/picuaETeN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/pictzvxW5.jpg"")",Frozen Desserts,"c(""Dessert"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""Summer"", ""Weeknight"", ""Freezer"", ""Easy"")","c(""4"", ""1/4"", ""1"", ""1"")","c(""blueberries"", ""granulated sugar"", ""vanilla yogurt"", ""lemon juice"")",170.9,2.5,1.3,8,29.8,37.1,3.6,30.2,3.2,4,NA,"c(""Toss 2 cups berries with sugar."", ""Let stand for 45 minutes, stirring occasionally."", ""Transfer berry-sugar mixture to food processor."", ""Add yogurt and process until smooth."", ""Strain through fine sieve. Pour into baking pan (or transfer to ice cream maker and process according to manufacturers' directions). Freeze uncovered until edges are solid but centre is soft.  Transfer to processor and blend until smooth again."", ""Return to pan and freeze until edges are solid."", ""Transfer to processor and blend until smooth again."", 
""Fold in remaining 2 cups of blueberries."", ""Pour into plastic mold and freeze overnight. Let soften slightly to serve."")"
39,Biryani,25M,4H,4H25M,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/39/picM9Mhnw.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/39/picHv4Ocr.jpg"")",Chicken Breast,"c(""Chicken Thigh & Leg"", ""Chicken"", ""Poultry"", ""Meat"", ""Asian"", ""Indian"", ""Weeknight"", ""Stove Top"")","c(""1"", ""4"", ""2"", ""2"", ""8"", ""1/4"", ""8"", ""1/2"", ""1"", ""1"", ""1/4"", ""1/4"", ""1/2"", ""1/4"", ""2"", ""3"", NA, ""2"", ""1"", ""1"", ""8"", ""2"", ""1/3"", ""1/3"", ""1/3"", ""6"")","c(""saffron"", ""milk"", ""hot green chili peppers"", ""onions"", ""garlic"", ""clove"", ""peppercorns"", ""cardamom seed"", ""cumin seed"", ""poppy seed"", ""mace"", ""cilantro"", ""mint leaf"", ""fresh lemon juice"", ""plain yogurt"", ""boneless chicken"", ""salt"", ""ghee"", ""onion"", ""tomatoes"", ""basmati rice"", ""long-grain rice"", ""raisins"", ""cashews"", ""eggs"")",1110.7,58.8,16.6,372.8,368.4,84.4,9,20.4,63.4,6,NA,"c(""Soak saffron in warm milk for 5 minutes and puree in blender."", ""Add chiles, onions, ginger, garlic, cloves, peppercorns, cardamom seeds, cinnamon, coriander and cumin seeds, poppy seeds, nutmeg, mace, cilantro or mint leaves and lemon juice. Blend into smooth paste. Put paste into large bowl, add yogurt and mix well."", ""Marinate chicken in yogurt mixture with salt, covered for at least 2 - 6 hours in refrigerator."", ""In skillet. heat oil over medium heat for 1 minute. Add ghee and 15 seconds later add onion and fry for about8 minutes."", 
""Reserve for garnish."", ""In same skillet, cook chicken with its marinade with tomatoes for about 10 minutes over medium heat, uncovered."", ""Remove chicken pieces from the sauce and set aside. Add rice to sauce, bring to boil, and cook, covered over low heat for 15 minutes."", ""Return chicken and add raisins, cashews and almonds; mix well."", ""Simmer, covered for 5 minutes."", ""Place chicken, eggs and rice in large serving dish in such a way that yellow of the eggs, the saffron-colored rice, the nuts and the chicken make a colorful display."", 
""Add reserved onion as garnish."")"
40,Best Lemonade,5M,30M,35M,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/40/picJ4Sz3N.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/40/pic23FWio.jpg"")",Beverages,"c(""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Summer"", ""< 60 Mins"")","c(""1 1/2"", ""1"", NA, ""1 1/2"", NA, ""3/4"")","c(""sugar"", ""lemons, rind of"", ""lemon, zest of"", ""fresh water"", ""fresh lemon juice"")",311.1,0.2,0,0,1.8,81.5,0.4,77.2,0.3,4,NA,"c(""Into a 1 quart Jar with tight fitting lid, put sugar and lemon peel, or zest;  add 1 1/2 cups very hot water (not from tap!). With lid fitted firmly, shake jar until sugar is dissolved."", ""Add lemon juice. Refrigerate until chilled."", ""To Serve: Into each 12-ounce glass, over ice cubes, pour 1/4 cup of the lemon syrup."", ""Then add chilled club soda or, if you prefer, water."", ""Stir to mix well."")"
41,Carina's Tofu-Vegetable Kebabs,20M,24H,24H20M,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/41/picmbLig8.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/41/picL02w0s.jpg"")",Soy/Tofu,"c(""Beans"", ""Vegetable"", ""Low Cholesterol"", ""Weeknight"", ""Broil/Grill"", ""Oven"")","c(""12"", ""1"", ""2"", ""1"", ""10"", ""1"", ""3"", ""2"", ""2"", ""2"", ""1"", ""2"", ""1/2"", ""1/4"", ""4"")","c(""extra firm tofu"", ""eggplant"", ""zucchini"", ""mushrooms"", ""soy sauce"", ""low sodium soy sauce"", ""olive oil"", ""maple syrup"", ""honey"", ""red wine vinegar"", ""lemon juice"", ""garlic cloves"", ""mustard powder"", ""black pepper"")",536.1,24,3.8,0,1558.6,64.2,17.3,32.1,29.3,2,4 kebabs,"c(""Drain the tofu, carefully squeezing out excess water,  and pat dry with paper towels."", ""Cut tofu into one-inch squares."", ""Set aside.  Cut  eggplant lengthwise in half, then cut each half into approximately three strips."", ""Cut strips crosswise into one-inch cubes."", ""Slice zucchini into half-inch thick  slices."", ""Cut red pepper in half, removing stem and seeds, and cut each half into  one-inch squares."", ""Wipe mushrooms clean with a moist paper towel and remove  stems."", ""Thread tofu and vegetables on to barbecue skewers in alternating color  combinations: For example, first a piece of eggplant, then a slice of tofu, then zucchini, then red pepper, baby corn and mushrooms."", 
""Continue in this way until  all skewers are full."", ""Make the marinade by putting all ingredients in a  blender, and blend on high speed for about one minute until mixed."", ""Alternatively, put all ingredients in a glass jar, cover tightly with the lid  and shake well until mixed."", ""Lay the kebabs in a long, shallow baking pan or on  a non-metal tray, making sure they lie flat. Evenly pour the marinade over the  kebabs, turning them once so that the tofu and vegetables are coated."", ""Refrigerate the kebabs for three to eight hours, occasionally spooning the  marinade over them."", 
""Broil or grill the kebabs at 450 F for 15-20 minutes, or on the grill, until the vegetables are browned."", ""Suggestions  This meal can be served over cooked, brown rice. Amounts can easily be doubled to make four servings."")"
42,Cabbage Soup,30M,20M,50M,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/picVEMxk8.jpg""",Vegetable,"c(""Low Protein"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""Winter"", ""< 60 Mins"", ""Easy"")","c(""46"", ""4"", ""1"", ""2"", ""1"")","c(""plain tomato juice"", ""cabbage"", ""onion"", ""carrots"", ""celery"")",103.6,0.4,0.1,0,959.3,25.1,4.8,17.7,4.3,4,NA,"c(""Mix everything together and bring to a boil."", ""Reduce heat and simmer for 30 minutes (longer if you prefer your veggies to be soft)."", ""Refrigerate until cool."", ""Serve chilled with sour cream."")"
43,Best Blackbottom Pie,2H,20M,2H20M,character(0),Pie,"c(""Dessert"", ""Weeknight"", ""Stove Top"", ""< 4 Hours"")","c(""1 1/4"", ""1/4"", ""6"", ""1/3"", ""1/4"", ""1/4"", ""2"", ""3"", ""1"", ""1"", ""1/4"", ""1"", ""2"", ""3"", ""1/4"", ""1/2"", NA)","c(""graham cracker crumbs"", ""sugar"", ""butter"", ""sugar"", ""cornstarch"", ""salt"", ""milk"", ""vanilla extract"", ""water"", ""gelatin"", ""rum"", ""cream of tartar"", ""sugar"")",437.9,19.3,10.9,94.3,267.6,58,1.8,42.5,7,8,1 9-inch pie,"c(""Graham Cracker Crust: In small bowl, combine graham cracker crumbs, sugar   and butter.  Press evenly on bottom and sides of 9-inch pie plate. Chill   until firm (about 1 hour)."", ""Chocolate Layer: In medium saucepan, combine sugar, cornstarch and salt.   Gradually stir in milk.  Cook over medium heat, stirring constantly, until   mixture boils.  Remove from heat. In small bowl, beat egg yolks. Gradually   stir in small amount of hot mixture; return to saucepan. Cook over low   heat, stirring constantly, for 2 minutes. Remove from heat."", 
""Remove 1-1/2   cups custard to medium bowl; add  semi-sweet chocolate   morsels and vanilla extract. Stir until morsels are melted and mixture is   smooth."", ""Pour into prepared Graham Cracker Crust; chill until set (about 30   minutes)."", ""While Chocolate Layer is chilling, prepare Vanilla Layer."", ""Vanilla Layer: In large bowl, combine cold water and gelatin; let stand 5   minutes.  Add remaining warm custard; stir until gelatin dissolves.  Cool 15   minutes.  Stir in rum; beat with wire whisk until smooth. Set aside."", 
""In   1-1/2 quart bowl, combine egg whites and cream of tartar; beat until foamy.  Gradually add sugar; beat until stiff peaks form.  Fold egg whites into   custard; pour over chocolate layer."", ""Chill until set (about 2 hours)."", ""Garnish with whipped cream and chocolate shavings, if desired."", ""Makes one   9-inch pie."")"
44,Warm Chicken A La King,3M,35M,38M,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/44/picsSKvFd.jpg""",Chicken,"c(""Poultry"", ""Meat"", ""< 60 Mins"")","c(""12"", ""2"", ""3"", ""450"", ""1"", ""2"", ""1/4"", ""1"", NA, NA, ""2"", ""2"", ""1"", NA)","c(""chicken"", ""butter"", ""flour"", ""milk"", ""celery"", ""button mushrooms"", ""green pepper"", ""canned pimiento"", ""salt"", ""black pepper"", ""Worcestershire sauce"", ""parsley"")",895.5,66.8,31.9,405.8,557.2,29.1,3.1,5,45.3,2,NA,"c(""Melt 1 1/2 ozs butter, add the flour and cook for 2 to 3 minutes, stirring."", ""Gradually add milk and cook, stirring, until thick and smooth."", ""Melt the  remaining butter and saute sliced celery, button mushrooms and chopped pepper  until soft but not coloured."", ""Add celery, mushrooms, pepper, chicken and  pimiento to the sauce and heat through."", ""Season to taste.  Combine the egg  yolks, double cream and Worcestershire sauce. Add to the chicken mixture and  heat through."", ""Transfer to a serving dish and sprinkle with chopped parsley.""
)"
45,Buttermilk Pie With Gingersnap Crumb Crust,50M,30M,1H20M,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/pic79tPh5.jpg""",Pie,"c(""Dessert"", ""Healthy"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""3/4"", ""1"", ""1"", ""2"", ""3"", ""1/4"", ""1"", ""1/2"", ""1/2"", ""2"")","c(""sugar"", ""margarine"", ""egg"", ""flour"", ""salt"", ""buttermilk"", ""graham cracker crumbs"", ""margarine"")",228,7.1,1.7,24.5,281.8,37.5,0.5,24.7,4.2,8,NA,"c(""Preheat oven to 350°F."", ""Make pie crust, using 8 inch pie pan, do not bake."", ""Mix sugar and margarine in medium bowl until blended; beat in egg whites and egg."", ""Stir in flour, salt, and buttermilk until well blended."", ""Pour filling into prepared crust, bake 40 minutes or until sharp knife inserted near center comes out clean."", ""Sprinkle with nutmeg and serve warm or chilled."", ""Combine graham crumbs, gingersnap crumbs, and margarine in 8 or 9 inch pie pan, pat mixture evenly on bottom and side of pan."", 
""Bake 8 to 10 minutes or until edge of crust is lightly browned."", ""Cool on wire rack."")"
48,Boston Cream Pie,NA,2H15M,2H15M,character(0),Pie,"c(""Dessert"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1/2"", ""2 1/4"", ""3"", ""1"", ""1 1/2"", ""1/3"", ""1 1/2"", ""2"", ""1"", ""1/3"", ""1"", ""1 1/2"", ""1"", ""1/2"", ""1"", ""1/4"", ""1"", ""1 1/2"", ""2"", ""1"")","c(""margarine"", ""cake flour"", ""baking powder"", ""salt"", ""sugar"", ""vanilla"", ""eggs"", ""milk"", ""sugar"", ""cornstarch"", ""milk"", ""flour"", ""salt"", ""vanilla"", ""butter"", ""vanilla"")",688.2,36.4,12.9,105.9,722.3,84,1.6,46.2,8.8,8,1 pie,"c(""Beat egg whites until soft peaks form."", ""Gradually add 1/2 cup sugar, beating until very stiff peaks form."", ""Sift together remaining dry ingredients into another bowl."", ""Add oil, half the  milk and vanilla."", ""Beat 1 minute at medium speed."", ""Add remaining milk and egg yolks."", ""Beat 1 minute, scrape bowl."", ""Gently fold in egg whites."", ""Bake in two greased 9x 1.5-inch round pans in 350°F oven for 25 minutes."", ""Cool 10 minutes and then remove from pans."", ""Cool completely."", ""Fill with cream filling."", 
""Frost with Chocolate Glaze."", ""French Custard Filling: In saucepan, combine sugar, flour, cornstarch and salt.  Gradually stir in milk."", ""Cook and stir until mixture thickens and boils; cook and stir 2-3 minutes longer."", ""Stir a little of hot mixture into egg yolk; return to hot mixture."", ""Cook and stir until mixture just boils."", ""Add vanilla; cool."", ""Beat until smooth; fold in whipped cream."", ""Chocolate Glaze: Melt chocolate and butter over low heat, stirring constantly."", ""Remove from heat. Stir in confectioners' sugar and vanilla until crumbly."", 
""Blend in 3 tablespoons boiling water."", ""Add enough water (about 2 teaspoons), a teaspoon at a time, to form medium glaze of pouring consistency."", ""Pour quickly over top of cake; spread glaze evenly over top and sides."")"
49,Chicken Breasts Lombardi,30M,45M,1H15M,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/m1z1F8S5mAZgyImm5zYw_Lombardi%20Chicken%203.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/01481162521.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/Sa0Yu0UyRoyh1B03oLnD_20161102_174049.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/01477708512.jpeg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/tHou0UsyTiAsfQo29Fpi_Lombardi%20Chicken%202.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/X2b0bl8aTGivq4ErsD3g_Lombardi%20chicken%201.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/picvZU6rd.jpg"")",Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""European"", ""Very Low Carbs"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""2"", ""2"", ""12"", ""1/2"", ""1/3"", ""3/4"", ""1/2"", ""1/2"", ""1/2"", ""1/2"", ""1/4"")","c(""fresh mushrooms"", ""butter"", ""boneless skinless chicken breast halves"", ""flour"", ""butter"", ""marsala"", ""chicken broth"", ""salt"", ""mozzarella cheese"", ""parmesan cheese"", ""green onion"")",627.7,24.9,13,203,848.9,13.7,0.6,2,57.9,6,NA,"c(""Cook mushrooms in 2 tbsp butter in a large  skillet, stirring constantly, just   until tender."", ""Remove from heat; set aside.  Cut each chicken breast half in  half lengthwise.   Place each piece of chicken  between two sheets of wax paper; flatten to  1/8\"" thickness, using a meat  mallet or rolling pin."", ""Dredge chicken pieces in flour."", ""Place 5 or 6  pieces of chicken in 1 to 2  tbsp butter in a  large skillet; cook over medium  heat 3 to 4 minutes on each  side or until  golden."", ""Place chicken in a lightly  greased 13x9\"" baking dish,  overlapping  edges."", 
""Repeat procedure with  remaining chicken and butter."", ""Reserve pan  drippings in skillet.  Sprinkle  reserved mushrooms over chicken."", ""Add wine and  broth to skillet.  Bring to a boil;  reduce heat, and simmer,  uncovered, 10  minutes, stirring occasionally."", ""Stir in salt and pepper."", ""Pour  sauce over  chicken."", ""Combine cheeses and green  onions; sprinkle over chicken."", ""Bake  uncovered at 450 for 12 to 14 minutes."", ""Broil 5 1/2\"" away from heat 1 to  2  minutes or until browned."")"
